Archetype	MaxSeed	string
T12	9	4442-00000-000-00
T11	9	4442-00000-000-00
T10	9	4442-00000-000-00
T9	9	4442-00000-000-00
T8	9	4442-00000-000-00
T7	4	4442-00000-000-00
T7	9	4443-00000-000-00
T6	9	4443-00000-000-00
T5	9	4444-00000-000-00
T4	9	4444-00000-000-00
T3	9	4444-00000-000-00
T2	9	4444-00000-000-00
T1	9	4444-10000-000-00
C7	1	4444-10000-000-00
C7	6	4444-20000-000-00
C7	9	4444-20100-000-00
C6	0	4444-21101-000-00
C6	1	4444-31101-000-00
C6	2	4444-41101-000-00
C6	3	4444-21202-000-00
C6	5	4444-31202-000-00
C6	6	4444-41202-000-00
C6	7	4444-21302-000-00
C6	8	4444-31302-000-00
C6	9	4444-41302-000-00
C5	1	4444-41312-000-00
C5	4	4444-42312-000-00
C5	7	4444-41313-000-00
C5	9	4444-42313-000-00
C4	9	4444-44444-000-00
C3	3	4444-44444-000-00
C3	9	4444-44444-100-00
C2	9	4444-44444-200-00
C1	5	4444-44444-200-00
C1	8	4444-44444-300-00
C1	9	4444-44444-301-00
2B	9	4444-12333-000-00
2A	4	4444-11344-100-00
2A	9	4444-12344-100-00
1C	4	4444-44444-012-00
1C	9	4444-44444-112-00
1B	0	4444-44444-212-00
1B	4	4444-44444-312-00
1B	9	4444-44444-412-00
1A	9	4444-44444-413-00
1A	9	4444-44444-414-00
CX11	7	4444-44444-400-00
CX11	9	4444-44444-401-00
CX12	5	4444-44444-302-00
CX12	9	4444-44444-402-00
CX5	4	4444-44444-303-00
CX5	9	4444-44444-403-00
C1V	4	4444-44444-210-00
C1V	8	4444-44444-310-00
C1V	9	4444-44444-410-00
C1VCX5	1	4444-44444-313-00
C1VCX5	9	4444-44444-413-00
C1H	9	4444-44444-404-00
