Value	MaxSeed	string1	string2
11	3	4444-44444-0	SYMM
11	5	4444-44444-1	4444244
11	7	4444-44444-1	2444444
11	9	4444-42444-2	4442244
12	2	4444-44444-0	SYMM
12	4	4444-44444-1	4444244
12	6	4444-44444-1	2444444
12	9	4444-44444-2	4442244
21	3	4444-44444-1	SYMM
21	6	4444-44444-2	4442244
21	9	4444-44444-4	2442244
22	2	4444-44444-1	SYMM
22	5	4444-44444-2	4442244
22	9	4444-44444-4	2442244
32	2	4444-44444-2	SYMM
32	4	4444-44444-3	3444444
32	6	4444-44444-3	4444344
32	7	4444-44444-4	4444244
32	8	4444-44444-4	2444344
32	9	4444-44444-4	3444444
33	2	4444-44444-2	SYMM
33	4	4444-44444-3	3444444
33	6	4444-44444-3	4444344
33	7	4444-44444-4	4444244
33	8	4444-44444-4	2444344
33	9	4444-44444-4	3444444
42	1	4444-44444-3	SYMM
42	3	4444-44444-4	2444444
42	5	4444-44444-4	4444244
42	7	4444-43444-4	4444344
42	9	3444-44444-4	3444444
43	1	4444-44444-3	SYMM
43	3	4444-44444-4	2444444
43	5	4444-44444-4	4444244
43	7	4444-43444-4	4444344
43	9	3444-44444-4	3444444
44	1	4444-44444-3	SYMM
44	3	4444-44444-4	2444444
44	5	4444-44444-4	4444244
44	7	4444-43444-4	4444344
44	9	3444-44444-4	3444444
45	1	4444-44444-3	SYMM
45	3	4444-44444-4	2444444
45	5	4444-44444-4	4444244
45	7	4444-43444-4	4444344
45	9	3444-44444-4	3444444
53	3	4444-44444-4	4444344
54	3	4444-44444-4	4444344
55	3	4444-44444-4	4444344
53	6	4444-44444-4	3444444
54	6	4444-44444-4	3444444
55	6	4444-44444-4	3444444
53	9	4444-44444-4	SYMM
54	9	4444-44444-4	SYMM
55	9	4444-44444-4	SYMM
